firstName,middleName,lastName,nameNick,pos,weight,height,birthDate
Alaa,,Abdelnaby,,F-C,82,240,1968-06-24
Kareem,,Abdul-Jabbar,"Lew, Cap",C,85,225,1947-04-16
Mahdi,,Abdul-Rahman,Walt,G,74,185,1942-04-15
Mahmoud,,Abdul-Rauf,,G,73,162,1969-03-09
Tariq,,Abdul-Wahad,,G-F,78,223,1974-11-03
Zaid,,Abdul-Aziz,"Don, The Kangaroo",C-F,81,230,1946-04-07
Forest,Edward,Able,Frosty,G,75,180,1932-07-27
John,,Abramovic,Brooms,F,75,195,1919-02-09
Alex,,Acker,,G,77,185,1983-01-21
Mark,Richard,Acres,,F-C,83,220,1962-11-15
Alvan,Leigh,Adams,"Double A, The Oklahoma Kid",C-F,81,210,1954-07-19
George,,Adams,,F-G,77,210,1949-05-15
Hassan,Olawale,Adams,,G,76,220,1984-06-20
Michael,,Adams,,G,70,162,1963-01-19
Rafael,,Addison,,F-G,79,215,1964-07-22
Jeff,,Adrien,,F,79,243,1986-02-10
Maurice,Darnell,Ager,,G,77,202,1984-02-09
Mark,Anthony,Aguirre,,F-G,78,232,1959-12-10
Henry,T.,Akin,,C-F,82,225,1944-07-31
Mark,Steven,Alarie,,F,80,217,1963-12-11
Gary,R.,Alcorn,,C,81,225,1936-10-08
Cole,David,Aldrich,,C,83,245,1988-10-31
LaMarcus,Nurae,Aldridge,,F,83,240,1985-07-19
Cory,Lynn,Alexander,,G,73,185,1973-06-22
Courtney,Jason,Alexander,,G,77,205,1977-04-27
Gary,R.,Alexander,,F,79,240,1969-11-01
Victor,Joe,Alexander,,C-F,81,265,1969-08-31
Jerome,Byron,Allen,,G,76,184,1973-01-28
Lavoy,,Allen,,F,81,225,1989-02-04
Lucius,Oliver,Allen,,G,74,175,1947-09-26
Malik,,Allen,,F,82,255,1978-06-27
Willie,,Allen,,F,78,230,1949-02-08
Odis,,Allison,,F,78,195,1949-10-02
Lance,Collin,Allred,,C,83,250,1981-02-02
Darrell,Wilbert,Allums,,F,80.5,220,1958-09-12
Morris,,Almond,,G,78,215,1985-02-02
Derrick,Samuel,Alston,,F,83,225,1972-08-20
Rafer,Jamel,Alston,Skip to my Lou,G,74,171,1976-07-24
Peter,,Aluma,,C,82,260,1973-04-23
John,Ekwugha,Amaechi,,C-F,81,270,1970-11-26
Ashraf,,Amaya,Andrew,F,79,230,1971-11-23
Al-Farouq,,Aminu,,F,81,215,1990-09-21
Louis,Gabriel,Amundson,Lou,F,81,225,1982-12-07
Alan,Jeffery,Anderson,,G-F,78,220,1982-10-16
Chris,,Andersen,Birdman,F-C,82,220,1978-07-07
Daniel,Edward,Anderson,"Dan, Danny",G,74,185,1951-01-01
Derek,Lamont,Anderson,,G,76,194,1974-07-18
Dwight,Anthony,Anderson,,G,75,175,1960-12-28
Eric,Walfred,Anderson,,F,81,220,1970-05-26
James,Lee,Anderson,,G,78,215,1989-03-25
Jerome,,Anderson,Jay,G,77,195,1953-10-09
Michael,Levin,Anderson,,G,71,184,1966-03-23
Richard,Andrew,Anderson,,F-C,82,240,1960-11-19
Shandon,Rodriguez,Anderson,Rod,F-G,78,208,1973-12-31
Willie,Lloyd,Anderson,Chill,G-F,79,190,1967-01-08
Martynas,,Andriuskevicius,Marty,C,86,240,1986-03-12
Michael,Antonio,Ansley,,F,79,225,1967-02-08
Carmelo,Kyam,Anthony,Melo,F,80,220,1984-05-29
Rafael,Paulo,Araujo,,C,83,290,1980-08-12
Stacey,,Arceneaux, Bob Arceneaux in hs,F,76,210,1936-02-17
Robert,Michael,Archibald,,F,83,250,1980-03-29
Gilbert,Jay,Arenas,Agent Zero,G,75,191,1982-01-06
Trevor,Anthony,Ariza,,F,79,194,1985-06-30
Paul,Joseph,Arizin,Pitchin' Paul,F-G,74,190,1928-04-09
Brandon,Simone,Armstrong,,G,77,185,1980-06-16
Darrell,Eugene,Armstrong,,G,72,169,1968-06-22
Hilton,A.,Armstrong,,F-C,83,235,1984-11-11
Jay,Hoyland,Arnette,,G,74,175,1938-12-19
John,Charles,Arthurs,,G,76,185,1947-08-15
Omer,Faruk,Asik,,C-F,84,255,1986-07-04
Vincent,Jerome,Askew,,G-F,77,210,1966-02-28
Keith,Bernard,Askins,,G-F,79,197,1967-12-15
Stacey,Orlando,Augmon,The Plastic Man,G-F,78,205,1968-08-01
James,Dale,Augustine,,F,82,235,1984-02-27
Isaac,Edward,Austin,Ike,F-C,82,255,1969-08-18
Ken,,Austin,,F,81,200,1961-07-15
Anthony,,Avent,A.A.,F,81,235,1969-10-18
William,,Avery,Will,G,74,180,1979-08-08
Dennis,Wade,Awtrey,,C,82,235,1948-02-22
Kelenna,David,Azubuike,,G,77,220,1983-12-16
Luke,Robert,Babbitt,,F,81,225,1989-06-20
Milos,,Babic,,C-F,84,240,1968-11-23
Dalibor,,Bagaric,,C,85,255,1980-02-07
John,Edward,Bagley,Bags,G,72,185,1960-04-23
Carl,,Bailey,,C,84,210,1958-04-23
James,L.,Bailey,Jammin' James,F-C,81,220,1957-05-21
Thurl,Lee,Bailey,Big T.,F-C,83,215,1961-04-07
Jimmie,,Baker,,F,81,220,1953-12-25
LaMark,Anthony,Baker,Mark,G,73,175,1969-11-11
Maurice,,Baker,,G,73,175,1979-07-28
Renaldo,,Balkman,,F,80,208,1984-07-14
Cedric,Glenn,Ball,,F,80,210,1968-04-16
Herschel,David,Baltimore,Herk,F,76,195,1921-06-21
Walker,Burrell,Banks,,C,82,205,1947-08-26
John,,Barber,,F,78,210,1927-06-27
Leandro,Mateus,Barbosa,Leandrinho,G,75,176,1982-11-28
Andrea,,Bargnani,,F,84,225,1985-10-26
Charles,Wade,Barkley,"Sir Charles, Chuck, The Chuckster",F,77,250,1963-02-20
Erick,,Barkley,,G,73,177,1978-02-21
Harry,J.,Barnes,,F,75,205,1945-07-25
Marvin,Jerome,Barnes,"Good News, The Magnificent",F-C,80,210,1952-07-27
Matt,Kelly,Barnes,,F,79,235,1980-03-09
John,Anthony,Barnhill,Rabbit,G,73,170,1938-03-20
Norton,,Barnhill,,G,76,205,1953-07-15
Andre,Rashawd,Barrett,,G,70,172,1982-02-21
Ernie,Drew,Barrett,Black Jack,G-F,75,180,1929-08-27
Dana,Bruce,Barros,,G,71,163,1967-04-13
Earl,Daniel,Barron,,C,84,245,1981-08-14
Brent,Robert,Barry,Bones,G,78,185,1971-12-31
Drew,William,Barry,,G,77,190,1973-02-17
Jon,Alan,Barry,J.B.,G,76,195,1969-07-25
Jerry,W.,Baskerville,,F,79,190,1951-11-10
Brandon,Sam,Bass,B Bass,F,80,240,1985-04-30
Maceo,Demond,Baston,,F,81,215,1975-05-29
Mengke,,Bateer,Dinosaur,C,83,290,1975-11-20
Shane,Courtney,Battier,,G-F,80,220,1978-09-09
John,Sidney,Battle,"Cricket, Pickle, J.B.",G,74,175,1962-11-09
Lloyd,,Batts,,G-F,76,185,1951-05-09
Lonny,Leroy,Baxter,,F,79,260,1979-07-27
Elgin,Gay,Baylor,Rabbit,F,77,225,1934-09-16
Howard,Edgar,Bayne,,F,78,235,1942-07-28
Sergei,Valeryanovich,Bazarevich,,G,74,162,1965-03-16
Ralph,Milton,Beard,,G,70,175,1927-12-02
Jerome,,Beasley,,F,81,237,1980-05-17
John,Michael,Beasley,,F-C,81,225,1944-02-05
Zelmo,,Beaty,"Big Z, Mr. Clean",C,81,225,1939-10-25
Corey,Laveon,Beck,,G,73,190,1971-05-27
William,,Bedford,,C,84,225,1963-12-14
Elmer,H.,Behnke,,C,79,210,1929-02-03
Charlie,Will,Bell,,G,75,200,1979-03-12
Dennis,R.,Bell,,F,77,185,1951-06-02
Raja,,Bell,,G,77,210,1976-09-19
Troy,Devon,Bell,,G,73,180,1980-11-10
Leon,,Benbow,,G,76,185,1950-07-23
Jonathan,Rene,Bender,,F,83,198,1981-01-30
Corey,Dwight,Benjamin,,G,78,200,1978-02-24
Elmer,James,Bennett,,G,72,170,1970-02-13
Mario,Marcell,Bennett,,F,81,220,1973-08-01
Winston,George,Bennett,Steady Bee,F,79,210,1965-02-09
David,,Benoit,,F,80,220,1968-05-09
Keith,A.,Benson,,F-C,83,230,1988-08-13
Gary,Dean,Bergen,,C,80,210,1932-07-16
Larry,Clifford,Bergh,,F,79.5,210,1945-04-02
Ricky,Alan,Berry,,F,80,205,1964-10-06
Walter,,Berry,Truth,F,80,215,1964-05-14
Travis,Eric,Best,,G,71,182,1972-07-12
Andris,,Biedrins,,F,83,240,1986-04-02
Chauncey,Ray,Billups,,G,75,202,1976-09-25
Joe,,Binion,,F,80,225,1961-03-26
